extension,symbol,n,class1,class2,unsure,notes
py,scipy.stats,21,prep,pack,,
py,nunique,20,prep,summ,,
py,pop,20,prep,,,
py,xs,20,prep,subs,,
py,e,19,prep,oper,y,
py,test,19,prep,test,,
py,in1d,18,prep,test,,
py,re,18,prep,pack,y,separate subcategory for regex/text
do,saveold,17,prep,sys,,
py,column_stack,17,prep,matr,y,
py,rename,17,prep,sys,,
py,sample,17,prep,subs,,
py,dtypes,16,prep,type,,
py,errors,16,model,interp,y,
py,series,16,prep,,,reshaping data/manipulating matrices
py,stats,16,prep,pack,,
do,alpha,13,prep,,y,could be cronbach's alpha?
py,sem,13,model,,,
do,local,12,prep,sys,,
py,axes,12,viz,,,
py,select,12,unkn,,y,
py,sort_index,12,prep,sort,,
py,squeeze,12,prep,subs,,
py,take,12,prep,subs,,
do,dec,11,prep,type,,
do,more,11,prep,sys,,
py,vstack,11,prep,matr,y,
py,warnings,11,prep,sys,,
r,control,11,model,,y,
r,q,11,prep,sys,y,
do,d,10,prep,,,
do,program,10,prep,sys,,
py,a2core,10,prep,sys,,
py,assign,10,prep,merg,,
py,core,10,prep,sys,,
py,inf,10,prep,oper,,
py,number,10,prep ,type,,
py,rec,10,prep,,y,
py,data,9,prep,,y,
py,info,9,prep,sys,,
py,reset_index,9,prep,,,
do,destring,8,prep,type,,
do,max,8,prep,oper,,
do,min,8,prep,oper,,
do,n,8,prep,summ,,
py,fromarrays,8,prep ,,,
py,logspace,8,prep,oper,,
py,pdb,8,prep,sys,,
py,sub,8,prep,,,text
py,tail,8,prep,subs,,
do,egen,7,prep,summ,,
py,clip,7,prep,subs,,
py,hstack,7,prep,,,
py,sp,7,prep,sys,,
py,square,7,prep,oper,,
r,prod,7,prep,oper,,
do,e,6,model,interp,,
do,su,6,prep,summ,,
py,a2models,6,unkn,,y,
py,compress,6,prep,subs,,
py,empty,6,prep,test,,
py,factorize,6,model,,,
py,feature_selection,6,prep,feat,,
py,glob,6,prep,sys,,
py,insert,6,prep,feat,,
py,itertools,6,prep,pack,,
py,logging,6,prep,pack,,
py,outer,6,prep,oper,,
py,power,6,prep,oper,,
py,resample,6,prep,subs,,
py,sns,6,viz,,,
py,uniform,6,prep,oper,,
do,di,5,prep,sys,,
py,argwhere,5,prep,test,,
py,groupby,5,prep,test,,
py,match,5,prep,,,text
py,rate,5,unkn,,y,
r,close,5,unkn,,y,
py,argmin,4,prep,oper,,
py,bool_,4,prep,type,,
py,convert_objects,4,prep,type,,
py,cumsum,4,prep,oper,,
py,fill,4,prep,,,working w. matrices
py,get,4,prep,,,
py,log,4,prep,oper,,
py,mask_data,4,prep,impu,,
py,newaxis,4,prep,,,working w. matrices
py,positive,4,prep,test,,
py,st,4,unkn,,y,
r,z,4,unkn,,y,
do,est,3,model,interp,,
do,file,3,prep,sys,,
do,nbreg,3,model,,,
do,sort,3,prep,,,sorting
do,ta,3,prep,summ,,
py,api,3,unkn,,y,
py,cut,3,prep,subs,,
py,dill,3,prep,sys,,
py,floor,3,prep,oper,,
py,imblearn,3,prep,feat,,
py,int64,3,prep,type,,
py,lt,3,prep,sys,,
py,sklearn.cross_decomposition,1,model,,,
py,sklearn.multioutput,1,model,,,
r,langcog,1,unkn,,y,
r,modelcor,1,model,interp,y,
r,stderr,1,model,interp,y,
do,hist,2,viz,,,
r,gc,1,unkn,,y,
do,pca,2,model,,,
py,missingdatascript,3,unkn,,y,
py,seterr,3,prep ,sys,,
py,vectorize,3,prep ,,,
do,display,2,prep,sys,,
do,else,2,prep,sys,,
do,ins,2,unkn,,y,
do,prob,2,model,interp,y,
py,ceil,2,prep,oper,,
do,ratio,2,model,,,
do,run,2,prep,sys,,
do,syntax,2,prep,sys,,
py,equal,2,prep,test,,
py,_selection,2,prep,subs,,
py,gt,2,prep,test,,
py,keras,2,prep,pack,,
py,apply_along_axis,2,prep,oper,,
py,argpartition,2,prep,subs,,
py,data_proc_fn,2,unkn,,y,
py,disp,2,prep,sys,,
py,dp,2,unkn,,y,
py,finfo,2,prep,type,,
