outcome,team,r.squared,beatingBaseline
grit,neamah,-1.139696555189372,FALSE
grit,nmandell,0.045373586645745645,TRUE
grit,nperina,-0.004843552092865577,FALSE
grit,ovarol,0.023216075335511177,TRUE
grit,Pentlandians,0.04282106366478511,TRUE
grit,phoebs,0.030460812224574085,TRUE
grit,pkrafft,4.634215986069057e-4,TRUE
grit,ppz,-0.0623452991271074,FALSE
grit,prakhar,1.4732659536775827e-12,FALSE
grit,pups33,0.01877879008789818,TRUE
grit,rbamos,0.004744713527692457,TRUE
grit,rcompton,-0.053042381009870576,FALSE
grit,red_potato85,-0.06659985387624645,FALSE
grit,rfjz,0.012550506768730485,TRUE
grit,rtodd,1.4732659536775827e-12,FALSE
grit,ruoyangp,1.4732659536775827e-12,FALSE
grit,ryanh,2.4447111002245947e-13,FALSE
grit,ryanjgallag,2.4447111002245947e-13,FALSE
grit,samantha_malte,0.011201111253502316,TRUE
grit,sender,0.0026883823132538565,TRUE
grit,shashim,5.960522436263549e-4,TRUE
grit,shausen,0.03269946373958632,TRUE
grit,siemann,0.002688382381554333,TRUE
grit,signoret,-0.670606006624326,FALSE
grit,siqbal16,-0.002313582730785413,FALSE
grit,smalamut,-4.7215506873832247e-4,FALSE
grit,soc383,0.014947754250672518,TRUE
grit,spike_slab_team,-23.144639344971974,FALSE
grit,sw2009,0,FALSE
grit,sy,0.058512474497284805,TRUE
grit,t.f.schaffner,0.03563160222301398,TRUE
grit,Tamkinat,0.03319077043995333,TRUE
grit,tdavidson,0,FALSE
grit,the_Brit,0.04147715819838149,TRUE
grit,TheLoneCodeman,-0.3255028473958035,FALSE
grit,Tina_the_Llama,0.0020294367587283535,TRUE
grit,tongwang,-0.004515242761142124,FALSE
grit,user,-1.9069380408764935e-4,FALSE
grit,user1,-4.7215506873832247e-4,FALSE
grit,vharman2,6.9675179655182e-4,TRUE
grit,visseho,-0.0069481922093723725,FALSE
grit,weggert,-0.0392253939898084,FALSE
grit,wjlei1990,0.053803521738971405,TRUE
grit,wnowak,1.4732659536775827e-12,FALSE
grit,wrcCOS424,-0.09110628597586756,FALSE
grit,yaboybillnye,-0.066268226186174,FALSE
grit,yjpeng,0.052099484535970686,TRUE
grit,yuex,2.4447111002245947e-13,FALSE
grit,zn2146,0,FALSE
jobTraining,ADSgrp5,3.951283744640932e-13,FALSE
jobTraining,aemack,0.03577236369374159,TRUE
jobTraining,agalle,-0.32451134264630155,FALSE
jobTraining,alexlibby,-0.6324235735935968,FALSE
jobTraining,alhajri,-0.32451134264630155,FALSE
jobTraining,Alpaca_CultureAsAWoolkit,0.004542047964721574,TRUE
jobTraining,amaatouq,-0.0047265327037113725,FALSE
jobTraining,amagann,3.951283744640932e-13,FALSE
jobTraining,amcz,3.951283744640932e-13,FALSE
jobTraining,amorgan,-0.5297861632778316,FALSE
jobTraining,amusse,-0.06347019574320578,FALSE
jobTraining,Anahit_Sargsyan,-137.77555373837302,FALSE
jobTraining,andrewor,0.012290772731278876,TRUE
jobTraining,annafil,0,FALSE
jobTraining,aprilfeifei,-0.4564737273379993,FALSE
jobTraining,au324,-3.149567809557219e-5,FALSE
jobTraining,aurora1994,-0.32451134264630155,FALSE
jobTraining,aycai,-0.32451134264630155,FALSE
jobTraining,azizkag,-0.32451134264630155,FALSE
jobTraining,bertalan,-0.32451134264630155,FALSE
jobTraining,bjgoode,-6.028124057411155e-5,FALSE
jobTraining,bleizman,-0.32451134264630155,FALSE
jobTraining,bnigdeli,-2.3497304164687982e-4,FALSE
jobTraining,brjohns,3.951283744640932e-13,FALSE
jobTraining,Bumblebee2023,0.024837368797167914,TRUE
jobTraining,bz247,-0.34894882129291216,FALSE
jobTraining,carnegien,0.025475024315449235,TRUE
jobTraining,ccgilroy,0,FALSE
jobTraining,chicacvr,0,FALSE
jobTraining,chris,3.951283744640932e-13,FALSE
jobTraining,cjqian,3.951283744640932e-13,FALSE
jobTraining,cnstahl,-2.015584864991764,FALSE
jobTraining,datascience,0,FALSE
jobTraining,davidj,-0.29029887254104647,FALSE
jobTraining,ddmmgg,0.005143730474206465,TRUE
jobTraining,devanshg,-0.32451134264630155,FALSE
jobTraining,dkozuch,-0.44181124015003315,FALSE
jobTraining,dliu18,4.8627768478581856e-14,FALSE
jobTraining,dremalt,0.0030452313225458605,TRUE
jobTraining,drigobon,0.02634811788921565,TRUE
jobTraining,DS,0.019376262912309872,TRUE
jobTraining,eaman,4.8627768478581856e-14,FALSE
jobTraining,ec,-0.0021300214879218515,FALSE
jobTraining,echiou,0,FALSE
jobTraining,edz,0,FALSE
jobTraining,ehk02004,2.670034460726667e-4,TRUE
jobTraining,ekaban15,-2.3497304164687982e-4,FALSE
jobTraining,err,3.951283744640932e-13,FALSE
jobTraining,ETsurkov,0.0329373916007637,TRUE
jobTraining,FormidableFamily,0.019690612616815373,TRUE
jobTraining,fperraudeau,0.03349115611473108,TRUE
jobTraining,fw,0.0019045926510975475,TRUE
jobTraining,ggundersen,-0.32451134264630155,FALSE
jobTraining,ghe,-0.9012358387063149,FALSE
jobTraining,greg.faletto,3.951283744640932e-13,FALSE
jobTraining,gregversteeg,-0.48579870171393225,FALSE
jobTraining,gsharma298,-3.7277144751088827,FALSE
jobTraining,gturunc16,-0.373386299939523,FALSE
jobTraining,gulnihaltuzun,-2.3497304164687982e-4,FALSE
jobTraining,gwaldrop,4.8627768478581856e-14,FALSE
jobTraining,haixiaow,0.022378211677910653,TRUE
jobTraining,hamidrezaomidvar,-0.03925103807322783,FALSE
jobTraining,hchai,-1.6685726682098916,FALSE
jobTraining,hesohn,-5.769718036674476e-10,FALSE
jobTraining,hinthornw,4.8627768478581856e-14,FALSE
jobTraining,hty,-0.06869981617358056,FALSE
jobTraining,ihorwitz,-0.01280969100711804,FALSE
jobTraining,is2548_is,-2.220446049250313e-16,FALSE
jobTraining,IU_Sociology,-2.220446049250313e-16,FALSE
jobTraining,jeremyfreese,0.014676636823078515,TRUE
jobTraining,jeremykanter,3.951283744640932e-13,FALSE
jobTraining,jgagne,0.020147152809935176,TRUE
jobTraining,jlhillny,0.043404632631752205,TRUE
jobTraining,jmels13,-5.769718036674476e-10,FALSE
jobTraining,jnchen,-0.03738714325429204,FALSE
jobTraining,joshua_becker_upenn,3.951283744640932e-13,FALSE
jobTraining,joshua800,-16.60964711274769,FALSE
jobTraining,Justajwu,0.02236034028849765,TRUE
jobTraining,jzrf,0.035385239922880896,TRUE
jobTraining,KAG,-0.056685759315392215,FALSE
jobTraining,kapoor,-0.373386299939523,FALSE
jobTraining,karenfeng,-1.2268019787375906e-5,FALSE
jobTraining,karipuf,4.8627768478581856e-14,FALSE
jobTraining,katamg,0.03405622832304178,TRUE
jobTraining,Katy_P,0.022183735300381313,TRUE
jobTraining,kgenova,0.030450425724641406,TRUE
jobTraining,khiguera,-0.0021446876891757505,FALSE
jobTraining,kivan,-0.6853966159335163,FALSE
jobTraining,kouyang,0.030098679691663355,TRUE
jobTraining,largyle,-2.8344315241568552e-5,FALSE
jobTraining,lazs,-0.32451134264630155,FALSE
jobTraining,lbb285,0.023368110474377035,TRUE
jobTraining,lennyc,-2.3866883904699598e-4,FALSE
jobTraining,lkermode,-0.10357773739633958,FALSE
jobTraining,LouisR,-0.32939883837562367,FALSE
jobTraining,lpschnab,3.951283744640932e-13,FALSE
